1position_x,2positon_y,3position_x,4positon_y,5position_x,6positon_y,7position_x,8positon_y,9position_x,10positon_y,11position_x,12positon_y,13position_x,14positon_y,15position_x,16positon_y,17position_x,18positon_y,19position_x,20positon_y,21position_x,22positon_y,23position_x,24positon_y
1,5847.5458984375,4359.61669921875,3389.92822265625,3131.673095703125,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.26123046875,4575.09033203125,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4409.6015625,624.7938842773438,-3076.255859375,1746.4581298828125,16.0,17.0,18,19,20,21,-3149.7255859375,545.2655639648438,24
1,5847.78369140625,4356.38818359375,3389.458740234375,3131.6298828125,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.33544921875,4575.9853515625,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.52685546875,625.6728515625,-3077.45703125,1749.0521240234375,16.0,17.0,18,19,20,21,-3149.968017578125,544.8433837890625,24
1,5847.80126953125,4358.03271484375,3389.931396484375,3131.694091796875,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.1708984375,4574.82373046875,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.13037109375,624.3244018554688,-3076.473388671875,1747.8212890625,16.0,17.0,18,19,20,21,-3150.57763671875,544.72021484375,24
1,5847.26708984375,4356.5185546875,3390.515869140625,3131.4794921875,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.94189453125,4574.650390625,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.4921875,626.0980834960938,-3077.263671875,1749.5068359375,16.0,17.0,18,19,20,21,-3149.12451171875,546.4972534179688,24
1,5847.5224609375,4357.53857421875,3389.685302734375,3131.54345703125,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.67138671875,4575.45458984375,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.22021484375,625.1928100585938,-3076.882568359375,1748.9051513671875,16.0,17.0,18,19,20,21,-3150.279541015625,544.9724731445312,24
1,5848.76513671875,4358.68310546875,3389.858642578125,3132.124267578125,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.69091796875,4575.8125,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.0263671875,626.0966186523438,-3077.756103515625,1748.82080078125,16.0,17.0,18,19,20,21,-3150.071044921875,544.4267578125,24
1,5847.05078125,4360.2919921875,3389.808837890625,3131.14697265625,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.560546875,4577.61669921875,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4411.708984375,625.9453735351562,-3078.5234375,1747.58154296875,16.0,17.0,18,19,20,21,-3149.782470703125,545.1610107421875,24
1,5847.6240234375,4356.56689453125,3389.0927734375,3131.50439453125,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5940.8828125,4574.56982421875,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.9609375,625.7626342773438,-3077.0263671875,1749.87109375,16.0,17.0,18,19,20,21,-3150.08837890625,544.619384765625,24
1,5847.04296875,4357.5615234375,3390.07080078125,3131.768798828125,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.62548828125,4577.45751953125,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.4921875,625.9087524414062,-3078.153564453125,1749.31689453125,16.0,17.0,18,19,20,21,-3150.27783203125,545.25439453125,24
1,5847.541015625,4359.41162109375,3390.1630859375,3131.790771484375,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5940.92236328125,4575.65478515625,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4410.13720703125,625.390380859375,-3077.744140625,1748.76171875,16.0,17.0,18,19,20,21,-3150.248046875,544.6839599609375,24
1,5847.1259765625,4356.73046875,3389.491943359375,3132.108154296875,6,7,8,9,10,11,12.0,13.0,14.0,15.0,5941.3388671875,4574.875,18,19,20,21,22.0,23.0,24
1,2.0,3.0,4.0,5.0,6,7,8,9,10,11,-4411.29296875,626.2913818359375,-3077.2626953125,1748.99462890625,16.0,17.0,18,19,20,21,-3150.869873046875,545.6255493164062,24
